Key,Type,Summary,Status,Priority,Resolution,Assignee,Reporter,Labels,Components,Created,Updated,Description,URL
G40-1,Epic,Bug Fixes & Polish,To Do,Highest,,,Robert Hazle,,,2025-06-30,2025-06-30,"Fix existing bugs and issues, clean up the UI for spelling etc, and correct any usability functionality to provide for a better user experience.",https://gopherapp.atlassian.net/browse/G40-1
G40-2,Epic,B2B Web Portal,To Do,High,,,Robert Hazle,,,2025-06-30,2025-06-30,"Deliver a browser-accessible web portal to provide Gopher App functionalty for business. This includes having the ability to create requests, “pick” requests, and complete requests.",https://gopherapp.atlassian.net/browse/G40-2
G40-3,Epic,AI Inclusion,To Do,Medium,,,Robert Hazle,,,2025-06-30,2025-06-30,Add AI functionality to provide both compliance needs in verifying age-restricted requests and begin building out AI support.,https://gopherapp.atlassian.net/browse/G40-3
G40-4,Epic,Full Tech Stack Redesign & Rewrite,To Do,Low,,,Robert Hazle,,,2025-06-30,2026-06-15,"**Umbrella epic for the Gopher 4.0 rebuild.** This epic no longer describes a native rewrite or an AI-centric database redesign — that approach is retired. It now tracks the rebuild as scoped in `Gopher-Scope-of-Work.md` v1.1, organized into nine buckets (A–I): * **A** — Rebuild the shared demand engine + build Gopher Connect (the dominant item; Request and Go are two drifted forks of one engine, converged here). * **B** — Worker flow (Gopher Go), riding the same engine. * **C** — Backend API: keep, adapt, harden (incl. AWS SDK v3, secret rotation). * **D** — Database: confirm & align. * **E** — Admin dashboard: keep, light harden. * **F** — Gopher Deals (merchant + customer surface). * **G** — Interim protect-only security fixes. * **H** — Engine manual / knowledge-transfer asset. * **I** — Test & CI baseline (no automated tests exist today). See the Scope of Work for deliverables, dependencies, effort sizing, and acceptance criteria per bucket. Backlog tickets are tagged `bucket-a` … `bucket-i`.",https://gopherapp.atlassian.net/browse/G40-4
G40-6,Bug,Gopher App - Complete Order Process Bug,To Do,High,,,John Newbury,request,,2024-09-16,2026-06-09,"When a Standard Gopher marks a request as Completed, the request moves to Pending Confirmation status in the Active tab. The Gopher is currently stuck on this screen and cannot navigate to the Available tab to browse or accept new requests. This is a bug — once a request is marked Completed, the one-request-at-a-time restriction should lift and the Gopher should be free to accept new work. The only cap is that a Gopher may not accept a new request if they already have 2 Confirmation Pending requests outstanding. ## 🧑‍💻 As a Standard Gopher who has just marked a request as Completed, ## 🎯 I want to be able to navigate to the Available tab and accept a new request while my previous request is awaiting Requestor confirmation, ## ✅ So that I can continue working efficiently without being forced to wait for confirmation before taking on new requests. ## 💡 Context / Background * Standard Gophers are restricted to one active request at a time while a request is In Progress. * Once a Gopher marks a request as Completed, the request status changes to Pending Confirmation — awaiting the Requestor’s confirmation. * At this point the Gopher’s active work is done. The one-request restriction should no longer apply, and the Gopher should be free to browse and accept new available requests. * Currently the app keeps the Gopher on the Pending Confirmation screen and blocks access to the Available tab entirely. * A cap applies: if the Gopher already has **2 Confirmation Pending requests** outstanding, they may not accept a third until at least one resolves. ## ❌ Current Behavior * After marking a request as Completed, the Gopher is stuck on the Pending Confirmation screen * The Gopher cannot navigate to the Available tab to view or accept new requests * The one-request-at-a-time restriction incorrectly persists even after the Gopher has completed their work ## ✅ Expected Behavior * Once a Gopher marks a request as Completed, the one-request-at-a-time restriction is lifted * The Gopher can navigate to the Available tab, browse available requests, and accept a new one * The Pending Confirmation request remains visible in the Active tab while the Gopher works on the new request * If the Gopher has **2 Confirmation Pending requests** outstanding, they are blocked from accepting a new request until at least one resolves ## 🔁 Steps to Reproduce 1. Log in as a Standard Gopher and accept a request. 2. Update the request to In Progress, then mark it as Completed. 3. Observe the request changes to Pending Confirmation in the Active tab. 4. Attempt to navigate to the Available tab. 5. Observe the Gopher is stuck on the Pending Confirmation screen and cannot view available requests. ## ✅ Acceptance Criteria ### Scenario 1 – Gopher can access Available tab after marking a request Completed * **Given** a Standard Gopher has marked a request as Completed * **When** the request enters Pending Confirmation status * **Then** the Gopher can navigate to the Available tab * **And** available requests are visible and selectable ### Scenario 2 – Gopher can accept a new request while one is Pending Confirmation * **Given** a Standard Gopher has 1 Pending Confirmation request * **When** the Gopher navigates to the Available tab and selects a new request * **Then** the Gopher can successfully accept the new request * **And** the Pending Confirmation request remains visible in the Active tab ### Scenario 3 – Gopher is blocked from accepting a new request when 2 are Pending Confirmation * **Given** a Standard Gopher already has 2 Confirmation Pending requests outstanding * **When** the Gopher attempts to accept a new request * **Then** the Gopher is blocked from accepting the new request * **And** they must wait until at least one Pending Confirmation resolves before accepting again ### Scenario 4 – One-request restriction still applies while a request is In Progress * **Given** a Standard Gopher has a request that is In Progress (not yet Completed) * **When** the Gopher attempts to accept another request * **Then** the one-request restriction applies and they cannot accept a new request ## ⚙️ Business Rules * The one-request-at-a-time restriction applies only while a request is In Progress. * Once a request is marked Completed (status: Pending Confirmation), the restriction lifts and the Gopher may browse and accept new requests. * A Standard Gopher may have a maximum of 2 Confirmation Pending requests at any time. If 2 are pending, they cannot accept a new request until at least one resolves. * Pending Confirmation requests must remain visible in the Active tab while the Gopher works on a new request. ## 🧠 Dependencies / Notes * The restriction logic must check request status (In Progress vs. Pending Confirmation) rather than simply checking whether any active request exists. * The Available tab must become accessible as soon as the request transitions to Pending Confirmation. * The 2 Confirmation Pending cap must be enforced on the backend to prevent race conditions. * This logic applies to Standard Gophers only — confirm whether different rules apply to other Gopher tiers. ## 🧪 QA Notes * Mark a request as Completed — confirm the Gopher can navigate to the Available tab and see available requests. * With 1 Pending Confirmation request, accept a new request — confirm it is accepted successfully and the Pending Confirmation request remains in the Active tab. * With 2 Pending Confirmation requests, attempt to accept a third — confirm the Gopher is blocked. * Resolve one Pending Confirmation — confirm the Gopher can now accept a new request. * Confirm the one-request restriction still applies while a request is In Progress. * Test on both iOS and Android.",https://gopherapp.atlassian.net/browse/G40-6
G40-7,Bug,(FE) Both Apps - Simplify Sign-Up Process,In Progress,Highest,,John Newbury,John Newbury,"Gopher-App, Gopher-Go, Gopher-Requestor, spine",,2025-01-01,2026-07-03,"> 🔧 **DEV-READY HANDOFF — groomed 2026-07-02 (John Newbury).** Umbrella FE signup ticket (absorbs BE **G40-242**). This block is authoritative; original body retained below. No open questions. Full handoff: `docs/handoff/G40-7-simplify-signup.md`. ## ⚠️ Two things that reframe this ticket 1. **Core logic already scaffolded + tested (owner).** `G40-Build-Recap.md` → `wave-bugs/g40-7/signupFlow.js` (shared with G40-271): `routeUserOnLogin` (existing unverified → Email Verification, no new account, history kept), `otpBackTarget` (Back from email-OTP → **Confirmation/Profile-Info to fix email + resend**, NOT SMS sign-in — the exact bug in the UPDATE line), `canEnterHome` (gates Home on verified email), `shouldCreateNewAccount=false` for existing accounts. **Wire the FE to these; don't re-derive.** 2. **Old Figma** `6158-28302` is SUPERSEDED — per the owner's rev-13 standing note the whole UI/UX was redesigned. **Bind to the new prototype, not the old Figma:** `Final/gopher-request.html` (customer) + Gopher Go signup (`_prototypes/Go/gopher-go-prototype.html` / `SignUp.js`). ## 🔄 Intended flow (G40-157 `signupValidation.js` + Diana 2026-02-17) demo → phone+OTP → details (name/email/phone/DOB) → **email-OTP (resend) → activation** → welcome. New **“Incomplete”** status saves partial signups (replaces binary Active/Inactive). **“Active”** = email verified **+** (Go workers) payout info added. ## 📱 FE remaining — exact prototype hooks (`Final/gopher-request.html`) * **Remove Sourcing Info** (“How did you hear…”): `rqSuSource` / `rqSuSourceOther` / `rqSuSourceOtherRow` (markup \~L16468; \~5 handlers \~L16741/16907/17018/17251; `STEPS` config \~L11826/12294). Remove the step + refs; internal note “Sourcing moves to Gopher Rewards later.” Same in Gopher Go. Not shown anywhere. * **Email OTP = final step**, blocks Home until verified: `rqSuEmailOtpBtn` / `rqSuEmailOtpInline` / `rqSuEmailVerifiedBadge` (phone: `rqSuPhoneOtpBtn` / `rqSuPhoneVerifiedBadge`). * **OTP back-nav fix** → wire Back on email-OTP to `otpBackTarget` (Profile-Info: edit email + resend). Handle errors, **Resend**, **“Did not receive?”**. * **Returning unverified** → `routeUserOnLogin` to Email Verification; block Home. * **Step progress UI** + reorder to new UX. **Auto-save/resume** each _Continue →_ (needs BE persistence). * **Fix email-field cutoff** UI bug (John 2026-02-28 screenshot). ## 🔌 BE (was G40-242; + G40-271 regressions) Persist incomplete signups + **Incomplete** status (save each step); activation gate (email-verified + Go payout); **G40-271:** wire admin email write to the AWS attribute + new AWS category, **repair Send Confirmation Email**; email-OTP send/verify (ties to G40-272). ## ✅ Acceptance (intent unchanged) Flow matches the **new** UX; email verification final + unskippable; existing unverified routed to Email Verification + blocked from Home; OTP errors/resend/back-nav (→ Profile-Info) graceful; progress saved + resumes after restart; Sourcing not visible anywhere; no dead ends. ## 🔗 Related G40-242 (BE — merged here) · G40-271 (regressions, shares `signupFlow.js`) · G40-157 (`signupValidation.js`) · G40-170 (incomplete capture) · G40-10 (`SignupChecklist.jsx`, Go final step) · G40-172 (`connectSignup.js`, Connect dual-OTP) · G40-272 (admin Email-OTP). Owner reference build: `Documentation/Jira Tickets/` + `G40-Build-Recap.md`. --- ## 📜 Original ticket (retained) **UPDATE — When a user enters profile info up to the email OTP, IF the OTP is not entered that session AND/OR the email was incorrect, they cannot update their email. The back button takes them to the SMS sign in. What SHOULD happen: the back button takes the user to the profile info so they can update their email.** FE scope: (1) reorder signup steps to Figma; remove Sourcing Info; add Email-OTP confirmation as the final step; show progress/continuity. (2) Email verification UI: required final step; block Home until verified; handle OTP errors/resend/“Did not receive?”. (3) Returning unverified users → redirect to Email Verification; block Home. (4) Step auto-save & resume. (5) Remove Sourcing Info (note: moves to Gopher Rewards later). _Figma 6158-28302 — SUPERSEDED (see above)._ Related: G40-242 (BE, parallel), G40-271 (regressions).",https://gopherapp.atlassian.net/browse/G40-7
G40-9,Task,Gopher App - Auto-Repost Workflow When Gopher Cancels an Active Request,In Progress,Highest,,John Newbury,John Newbury,worker,,2024-06-24,2026-07-03,"When a Gopher cancels an active request, the Requestor must be immediately presented with three clear options: Assign New Gopher, Edit Request, or Cancel Request. The appropriate flow must be triggered based on the Requestor’s selection, the original order must be closed, the Gopher’s cancellation must be logged, and any reposted or edited request must receive a new Order #. If the Requestor takes no action within 15 minutes, the request automatically cancels. ## 🧑‍💻 As a Requestor whose Gopher has cancelled an active request, ## 🎯 I want to be immediately presented with clear options to reassign, edit, or cancel my request, ## ✅ So that I can quickly recover from a Gopher cancellation without losing my request details or experiencing unnecessary friction. ## 💡 Context / Background * When a Gopher cancels an active request, the Requestor currently has no streamlined recovery path. * The Requestor receives a banner notification when their Gopher cancels. * The app should immediately present a modal with three options so the Requestor can act quickly. * Payment handling must ensure the Requestor does not experience a new authorization charge if the request is reassigned — internally the order is cancelled, but Stripe should treat it as a reassignment, not a new transaction. * If the Requestor takes no action within 15 minutes, the request automatically cancels. * An admin-level repost capability is also required in the Admin Panel under Orders, so the support team can step in and repost on the Requestor’s behalf when needed. ## 🗒️ The Three Options ### 1. Assign New Gopher * System automatically reposts the request with all original details and terms unchanged * A new Order # is generated and the request returns to the marketplace for Gopher selection * No changes to the request are permitted during this flow * Original order is closed and the cancelling Gopher is logged with a cancellation ### 2. Edit Request * Requestor is taken to the original Request Details page with all previous inputs pre-filled and editable * Pre-filled fields include cost of items, payment to Gopher, details, notes, and any other original inputs * After editing, the updated request is posted under a new Order # * Original order is closed and the cancelling Gopher is logged with a cancellation ### 3. Cancel Request * Requestor is shown the standard Gopher rating screen so they can rate the Gopher who cancelled * No repost occurs * Original order is closed and the cancelling Gopher is logged with a cancellation ## ❌ Current Behavior * When a Gopher cancels, the Requestor receives a banner notification but has no structured recovery options in the app * The Requestor must manually cancel and recreate the request themselves * No automatic repost, pre-fill, or rating flow is triggered * Admin panel has no ability to repost a cancelled order on the Requestor’s behalf ## ✅ Expected Behavior * When a Gopher cancels, the Requestor is immediately shown a modal with three options: Assign New Gopher, Edit Request, Cancel Request * Each option triggers the correct flow as defined above * Regardless of which option is chosen, the original Order # is closed and the cancelling Gopher is logged with a cancellation * Any reposted or edited request receives a new Order # * If the Requestor takes no action within 15 minutes, the request automatically cancels * Stripe does not re-authorize payment when a request is reassigned via Assign New Gopher or Edit Request * Admin panel includes a repost option on Orders so support staff can repost on the Requestor’s behalf ## ✅ Acceptance Criteria ### Scenario 1 – Gopher cancellation triggers the recovery modal * **Given** a Gopher cancels an active request * **When** the cancellation is confirmed * **Then** the Requestor immediately receives a banner notification and is shown a modal with three options: Assign New Gopher, Edit Request, Cancel Request ### Scenario 2 – Assign New Gopher reposts with original details * **Given** the Requestor selects Assign New Gopher * **When** the action is confirmed * **Then** the request is automatically reposted with all original details unchanged * **And** a new Order # is generated and the request is live in the marketplace * **And** the original order is closed and the Gopher’s cancellation is logged * **And** no new Stripe authorization is triggered ### Scenario 3 – Edit Request pre-fills original details for editing * **Given** the Requestor selects Edit Request * **When** the edit page loads * **Then** the Requestor is taken to the original Request Details page with all previous inputs pre-filled and editable * **When** the Requestor submits the edited request * **Then** a new Order # is generated and the request is posted * **And** the original order is closed and the Gopher’s cancellation is logged ### Scenario 4 – Cancel Request shows rating screen * **Given** the Requestor selects Cancel Request * **When** the selection is confirmed * **Then** the standard Gopher rating screen is displayed * **And** no repost occurs * **And** the original order is closed and the Gopher’s cancellation is logged ### Scenario 5 – Auto-cancel after 15 minutes of inaction * **Given** the Requestor has been shown the recovery modal * **When** 15 minutes pass without any selection * **Then** the request is automatically cancelled * **And** the original order is closed and the Gopher’s cancellation is logged ### Scenario 6 – Admin can repost a cancelled order on the Requestor’s behalf * **Given** an admin navigates to a cancelled order in the Admin Panel * **When** the admin selects the repost option * **Then** the request is reposted with original details under a new Order # * **And** the action is logged against the original order ## ⚙️ Business Rules * The original Order # must always be closed when a Gopher cancels, regardless of which recovery option the Requestor selects. * The cancelling Gopher must always be logged with a cancellation against the original Order #. * Any reposted or edited request always receives a new Order #. * Stripe must not trigger a new payment authorization when the Requestor selects Assign New Gopher or Edit Request — the payment is internally treated as a reassignment. * If the Requestor takes no action within 15 minutes of the modal appearing, the request auto-cancels. * This workflow applies to both instant (Need ASAP) and scheduled requests. * The rating screen must pull the correct Gopher ID of the cancelling Gopher. ## 🧠 Dependencies / Notes * Requires a new ""repost with same terms"" function tied to the Assign New Gopher flow. * Backend must finalize and close the original order before creating a new one. * Coordinate with Stripe on payment reassignment logic to avoid re-authorization on the Requestor’s card. * Push notifications must fire correctly for all three flows. * Wallet/held funds must be handled appropriately during order close and repost. * Backend must log: original Order #, new Order # (where applicable), Gopher who cancelled, and timestamp of cancellation. * Admin panel Orders section requires a repost action so support staff can act on behalf of the Requestor. * Figma UI/UX reference: https://www.figma.com/design/g7DWLbI86O6SqiwITY7jeL/%E2%9C%8F%EF%B8%8F-Gopher-UI_UX?node-id=4902-2963 * Figma banner notification reference: https://www.figma.com/design/aRFH8dqUfSHLJTb89VZYNh/Jira-Tickets?node-id=49-14197 ## 🧪 QA Notes * Test Gopher cancellation — confirm Requestor immediately receives banner notification and recovery modal. * Test Assign New Gopher — confirm request reposts with identical details, new Order # is generated, original order is closed, and Gopher cancellation is logged. * Test Edit Request — confirm pre-fill is accurate, edited request posts under a new Order #, and original order is closed. * Test Cancel Request — confirm rating screen appears with correct Gopher, no repost occurs, and original order is closed. * Test 15-minute auto-cancel — confirm request cancels automatically with no action taken. * Verify no new Stripe authorization is triggered when Assign New Gopher or Edit Request is used. * Test admin panel repost on a cancelled order — confirm new Order # is created and action is logged. * Test across both instant (Need ASAP) and scheduled request types. * Test on both iOS and Android.",https://gopherapp.atlassian.net/browse/G40-9
G40-10,Task,Gopher Go - Sign Up - Include New Best Practice Confirmation At Signup,To Do,High,,,John Newbury,worker,,2024-05-29,2026-06-09,"Add a checklist to the end of the sign up process for Gopher Go <custom data-type=""smartlink"" data-id=""id-0"">https://www.figma.com/design/aRFH8dqUfSHLJTb89VZYNh/Jira-Tickets?node-id=16-5405&t=40WLdLLG9hvbADXC-4</custom>",https://gopherapp.atlassian.net/browse/G40-10
G40-11,Task,Gopher App - Stripe - Account - Payment Account - Additional User Info Required For Security,In Progress,Medium,,John Newbury,John Newbury,pay,,2024-07-11,2026-07-03,"> 🔧 **DEV-READY HANDOFF — groomed & unparked 2026-07-02 (John Newbury).** This block is the authoritative spec; where it conflicts with the original body below, this block wins. All prior open questions are resolved — no developer decisions remain. Full handoff doc: `docs/handoff/G40-11-card-verification.md`. ## 🎯 Goal Every new card added must collect five verifiable fields **incl. billing address**, pass name/address to Stripe for **AVS + Radar**, require an **SMS OTP** to the account phone before the card is saved, and **log the verification event** so we have evidence to appeal chargeback disputes. ## ✅ Resolved decisions (were open questions) | # | Decision | Answer | | --- | --- | --- | | 1 | Status (was parked pending Stripe Connect R&D, Shaun 2024‑09) | **Unparked — build it.** | | 2 | In-scope surfaces | **Native Gopher Request app + Gopher Request (web) + Gopher Connect (business).** Gopher Deals **out of scope.** | | 3 | OTP on card add | **Required on EVERY card add** (even though phone is already OTP-verified at signup). No skip. | | 4 | Dispute evidence | **Log each card-add verification event** for chargeback appeals (see below). | | 5 | Prototype UI | **Do not build UI in the prototype** (payments fenced off); use existing prototype screens as visual reference only. | ## 💳 Required fields (all mandatory — Submit disabled until all valid) Full Name · Card Number · Expiration Date · CVC · **Billing Address (street, city, state, ZIP)**. ## 🔐 Stripe + OTP * Tokenize via Stripe; **raw PAN never stored on Gopher servers.** * Pass name + billing address in `billing_details` → enables AVS + Radar and retains dispute evidence. Enable AVS/CVC checks + Radar rules in Dashboard. * Modern equivalent of the 2024 `CardElement` note is **Payment Element + SetupIntent** — dev's engineering call; either is fine as long as `billing_details` is populated and AVS/Radar active. * After submit, send **6-digit SMS OTP** to the **account phone** (reuse existing signup OTP provider/Twilio). Card not saved until verified. **Expiry 5 min, resend once.** Wrong/expired → not saved, retry/resend offered. ## 🧾 Dispute audit log (NEW — John's requirement) Persist an auditable, retained record on every card-add attempt: account/user id + Stripe payment-method id (brand/last4); UTC timestamp; phone OTP sent to (masked/hashed per policy) + OTP outcome (sent/verified/failed/expired/resent); IP + device/user-agent; Stripe **AVS result, CVC result, Radar score/outcome**. Dedicated retained table (survives card edit/removal); retention ≥ chargeback dispute window (\~120+ days — confirm vs. Stripe/network timelines). ## ✅ Acceptance criteria 1. Submit disabled until all five fields (incl. billing address) valid. 2. On submit, SMS OTP sent to account phone; card not saved pre-verification. 3. Correct OTP → card saved & usable. 4. Incorrect/expired OTP → not saved; resend (once)/retry offered. 5. Name + billing address present on Stripe payment method object (AVS + Radar). 6. **Dispute audit record written for every card-add attempt** with fields above. 7. Holds on native Request app (iOS+Android), Request web, and Connect. ## 🖼️ Prototype reference (visual only — do NOT edit these files) * `Final/gopher-request.html` — add-payment modal `ensureModal()`/`__openAddPaymentModal` (\~L10792–10937; ids `payName/payNum/payExp/payCvc/paySave/payErr`) — collects Name/Num/Exp/CVC only, **no billing address, no OTP** (add both). Reusable signup phone-OTP: `rqSuPhoneOtpBtn` / `rqOtpLabel` (\~L16316). * `Final/gopher-connect.html` — same modal (\~L9468) + signup phone-OTP (\~L7290); street/city/state address pattern (\~L7097) to mirror for the billing block. * Figma card entry screens 1 & 2 (links in original body below). --- ## 📜 Original ticket (2024 — retained for context) The current payment method entry flow does not collect enough identifying information to verify that a card or payment method genuinely belongs to the user adding it. This creates exposure to fraud and chargebacks. The payment entry flow must be updated to require additional user information that Stripe can use for verification, fraud scoring, and chargeback dispute evidence. **As a** Gopher App user adding a payment method, **I want** to be required to provide verifiable identifying information when adding a card, **so that** the platform can confirm the payment method is legitimate and reduce fraud/chargeback risk. * Figma – Card entry screen 1: https://www.figma.com/design/g7DWLbI86O6SqiwITY7jeL/%E2%9C%8F%EF%B8%8F-Gopher-UI_UX?node-id=5945-10274 * Figma – Card entry screen 2: https://www.figma.com/design/g7DWLbI86O6SqiwITY7jeL/%E2%9C%8F%EF%B8%8F-Gopher-UI_UX?node-id=5945-10275 * Stripe chargeback prevention: https://docs.stripe.com/disputes/prevention * Stripe Radar: https://docs.stripe.com/radar _(The original detailed acceptance criteria, business rules, and QA notes from 2024 are superseded by the DEV-READY HANDOFF block above and the full handoff doc_ `docs/handoff/G40-11-card-verification.md`.)",https://gopherapp.atlassian.net/browse/G40-11
G40-13,Bug,Gopher Go - Stripe - Payout Account Confirmation,In Progress,Low,,John Newbury,Shaun Pack,pay,Gopher Go App,2024-08-30,2026-07-03,"Some users are being redirected to Stripes website (via mobile browser) to “fix” their payout account. Stripe is asking for their business website which is irrelevant for payouts. The integration between GopherGo and Stripe needs to be re-examined to cleaned up to prevent confusion. ‌ ### **As a** Gopher Go user setting up or confirming my **payout account**, ### **I want** a clear and accurate verification process that does **not** redirect me to irrelevant Stripe business setup pages, ### **So that** I can complete my payout verification smoothly without confusion or unnecessary steps. ‌ ### **💡 Context / Background** ‌ * Some Gopher Go users are being **redirected to Stripe’s website via the mobile browser** when attempting to confirm or “fix” their payout account. * Stripe is then asking the user for a **business website**, which is irrelevant for Gopher payouts and causes confusion. * This indicates that the current Stripe integration may be using an **incorrect onboarding or account-type flow**, likely one meant for businesses instead of individuals. * The payout account flow needs to be **re-examined and cleaned up** to ensure the correct Stripe verification path is used and no unnecessary fields or redirects are shown. ‌ ### **✅ Acceptance Criteria (Given / When / Then)** ‌ **Scenario 1 – Correct verification flow** * **Given** a user attempts to verify or update their payout account in Gopher Go, * **When** Stripe requires additional information, * **Then** the user must be taken to the **correct Stripe payout onboarding flow** (individual payouts), * **And** must **not** be redirected to business onboarding or asked for business-specific information. ‌ **Scenario 2 – No external unnecessary redirects** * **Given** a user taps “Fix” or “Verify” payout account, * **When** the integration logic triggers Stripe verification, * **Then** the user should **not** be redirected to an irrelevant mobile browser page. ‌ **Scenario 3 – Appropriate Stripe requirements only** * **Given** Stripe requests are valid, * **When** the user provides required information, * **Then** only relevant fields (e.g., identity verification, tax information, personal details) should be shown — **NOT business-only fields** such as “business website.” ‌ **Scenario 4 – Clear messaging inside Gopher Go** * **Given** verification is required, * **When** the user starts verification, * **Then** the UI should clearly indicate that Stripe is verifying their payout identity, not setting up a business account. ‌ ### **⚙️ Business Rules** ‌ * Gophers must be set up as **individual payouts** (or the correct Stripe account type for the application). * Gopher Go must map users to the **correct Stripe account object**, preventing business-account flows. * No business onboarding steps (website, EIN, company info) should ever appear unless the user is intentionally registered as a business. * Only relevant Stripe fields should be presented. * Integration must prevent unnecessary redirections to mobile browsers unless absolutely required. ‌ ### **🧠 Dependencies / Notes** ‌ * Investigate Gopher Go’s Stripe integration flow: * Check the account type being created (e.g., custom, express, standard). * Confirm whether Gophers use the correct capabilities (e.g., transfers). * Ensure correct onboarding link is generated (Stripe account link type). * Review account linkage logic to ensure existing payout accounts are reused, not recreated incorrectly. * Validate that no legacy or deprecated onboarding types are being used. * QA should test multiple payout scenarios (new user, returning user, restricted user). ‌ ### **🧪 QA Notes:** ‌ * Attempt to reproduce issue on iOS and Android. * Confirm user is never redirected to a browser asking for business information. * Test: * New payout account setup * Fixing a restricted payout account * Updating existing payout details * Verify correct Stripe onboarding link is used each time. * Confirm that payout verification screen is appropriate for an **individual**, not a business.",https://gopherapp.atlassian.net/browse/G40-13
