id,mime,decoded_bytes,decoded_human,instances,distinct_pages,shared,footprint_bytes,recommended_action,example_page,all_pages,hash
img-001,png,21999,21.5 KB,109,109,yes,2397891,SHARED→one shared file; convert to WebP,airport-rides.html,airport-rides.html|alcohol-delivery.html|apartment-moving.html|appliance-installation.html|appliance-moving.html|appliance-removal.html|appointment-rides.html|blinds-curtains.html|ceiling-fans.html|construction-debris.html|courier-packages.html|crew-assistance.html|day-laborers.html|deck-staining.html|deep-cleaning.html|document-delivery.html|dog-walking.html|donation-pickup.html|doorbell-cameras.html|dorm-college-move.html|driveway-cleaning.html|drywall-patching.html|dump-runs.html|e-waste-removal.html|e-waste-removal_1.html|errand-rides.html|errand-running.html|estate-cleanout.html|event-rides.html|event-setup.html|event-teardown.html|faucet-replacement.html|fence-staining.html|flower-delivery.html|food-delivery.html|furniture-assembly.html|furniture-moving.html|furniture-removal.html|garage-cleanout.html|garden-help.html|general-labor.html|gift-delivery.html|gopher-request.html|gopher-services.html|gravel-spreading.html|grocery-delivery.html|grocery-store-rides.html|gutter-cleaning.html|handyman.html|heavy-lifting.html|hedge-trimming.html|holiday-decorating.html|home-organizing.html|hot-tub-removal.html|house-cleaning.html|house-sitting.html|in-home-rearranging.html|junk-removal.html|last-minute-runs.html|late-night-delivery.html|lawn-mowing.html|leaf-removal.html|light-fixtures.html|line-waiting.html|loading-unloading.html|mattress-disposal.html|medical-appointment-rides.html|minor-electrical.html|minor-plumbing.html|moving-services.html|mulching.html|one-way-rides.html|package-pickup.html|packing-help.html|painting-projects.html|party-help.html|personal-assistant.html|pet-sitting.html|pharmacy-rx.html|piano-moving.html|picture-hanging.html|planting-flowers.html|pressure-washing.html|restaurant-pickup.html|retail-store-runs.html|return-dropoffs.html|rideshare.html|round-trip-rides.html|scheduled-pickup.html|school-rides.html|seasonal-yard-work.html|senior-help.html|senior-rides.html|shelf-installation.html|single-item-move.html|smart-home-setup.html|storage-unit-moving.html|storm-cleanup.html|touch-up-painting.html|tree-trimming.html|truck-loading.html|tv-mounting.html|uhaul-help.html|warehouse-help.html|weeding.html|wifi-tech-setup.html|yard-cleanup.html|yard-debris-haul.html|yard-work.html,cb606220734e
img-002,svg+xml,18978,18.5 KB,126,126,yes,2391228,SHARED→one shared file; extract .svg (keep vector),age-restricted.html,age-restricted.html|airport-rides.html|alcohol-delivery.html|apartment-moving.html|appliance-installation.html|appliance-moving.html|appliance-removal.html|appointment-rides.html|blinds-curtains.html|ceiling-fans.html|construction-debris.html|courier-packages.html|crew-assistance.html|day-laborers.html|deck-staining.html|deep-cleaning.html|document-delivery.html|dog-walking.html|donation-pickup.html|doorbell-cameras.html|dorm-college-move.html|driveway-cleaning.html|drywall-patching.html|dump-runs.html|e-waste-removal.html|e-waste-removal_1.html|errand-rides.html|errand-running.html|estate-cleanout.html|event-rides.html|event-setup.html|event-teardown.html|faucet-replacement.html|fence-staining.html|flower-delivery.html|food-delivery.html|furniture-assembly.html|furniture-moving.html|furniture-removal.html|garage-cleanout.html|garden-help.html|general-labor.html|gift-delivery.html|gopher-blog.html|gopher-connect-101.html|gopher-connect.html|gopher-contact-us.html|gopher-customer-deals.html|gopher-deals.html|gopher-faqs.html|gopher-go-101.html|gopher-header.html|gopher-our-story.html|gopher-privacy.html|gopher-prohibited-list.html|gopher-request-101.html|gopher-request.html|gopher-services.html|gopher-terms-of-service.html|gopher-tiers.html|gopher-trustshield.html|gravel-spreading.html|grocery-delivery.html|grocery-store-rides.html|gutter-cleaning.html|handyman.html|heavy-lifting.html|hedge-trimming.html|holiday-decorating.html|home-organizing.html|hot-tub-removal.html|house-cleaning.html|house-sitting.html|in-home-rearranging.html|junk-removal.html|last-minute-runs.html|late-night-delivery.html|lawn-mowing.html|leaf-removal.html|light-fixtures.html|line-waiting.html|loading-unloading.html|mattress-disposal.html|medical-appointment-rides.html|minor-electrical.html|minor-plumbing.html|moving-services.html|mulching.html|one-way-rides.html|package-pickup.html|packing-help.html|painting-projects.html|party-help.html|personal-assistant.html|pet-sitting.html|pharmacy-rx.html|piano-moving.html|picture-hanging.html|planting-flowers.html|pressure-washing.html|restaurant-pickup.html|retail-store-runs.html|return-dropoffs.html|rideshare.html|round-trip-rides.html|scheduled-pickup.html|school-rides.html|seasonal-yard-work.html|senior-help.html|senior-rides.html|shelf-installation.html|single-item-move.html|smart-home-setup.html|storage-unit-moving.html|storm-cleanup.html|touch-up-painting.html|tree-trimming.html|truck-loading.html|tv-mounting.html|uhaul-help.html|warehouse-help.html|weeding.html|wifi-tech-setup.html|yard-cleanup.html|yard-debris-haul.html|yard-work.html,e2b11713b639
img-003,svg+xml,18770,18.3 KB,127,126,yes,2383790,SHARED→one shared file; extract .svg (keep vector),age-restricted.html,age-restricted.html|airport-rides.html|alcohol-delivery.html|apartment-moving.html|appliance-installation.html|appliance-moving.html|appliance-removal.html|appointment-rides.html|blinds-curtains.html|ceiling-fans.html|construction-debris.html|courier-packages.html|crew-assistance.html|day-laborers.html|deck-staining.html|deep-cleaning.html|document-delivery.html|dog-walking.html|donation-pickup.html|doorbell-cameras.html|dorm-college-move.html|driveway-cleaning.html|drywall-patching.html|dump-runs.html|e-waste-removal.html|e-waste-removal_1.html|errand-rides.html|errand-running.html|estate-cleanout.html|event-rides.html|event-setup.html|event-teardown.html|faucet-replacement.html|fence-staining.html|flower-delivery.html|food-delivery.html|furniture-assembly.html|furniture-moving.html|furniture-removal.html|garage-cleanout.html|garden-help.html|general-labor.html|gift-delivery.html|gopher-blog.html|gopher-connect-101.html|gopher-connect.html|gopher-contact-us.html|gopher-customer-deals.html|gopher-deals.html|gopher-faqs.html|gopher-go-101.html|gopher-header.html|gopher-our-story.html|gopher-privacy.html|gopher-prohibited-list.html|gopher-request-101.html|gopher-request.html|gopher-services.html|gopher-terms-of-service.html|gopher-tiers.html|gopher-trustshield.html|gravel-spreading.html|grocery-delivery.html|grocery-store-rides.html|gutter-cleaning.html|handyman.html|heavy-lifting.html|hedge-trimming.html|holiday-decorating.html|home-organizing.html|hot-tub-removal.html|house-cleaning.html|house-sitting.html|in-home-rearranging.html|junk-removal.html|last-minute-runs.html|late-night-delivery.html|lawn-mowing.html|leaf-removal.html|light-fixtures.html|line-waiting.html|loading-unloading.html|mattress-disposal.html|medical-appointment-rides.html|minor-electrical.html|minor-plumbing.html|moving-services.html|mulching.html|one-way-rides.html|package-pickup.html|packing-help.html|painting-projects.html|party-help.html|personal-assistant.html|pet-sitting.html|pharmacy-rx.html|piano-moving.html|picture-hanging.html|planting-flowers.html|pressure-washing.html|restaurant-pickup.html|retail-store-runs.html|return-dropoffs.html|rideshare.html|round-trip-rides.html|scheduled-pickup.html|school-rides.html|seasonal-yard-work.html|senior-help.html|senior-rides.html|shelf-installation.html|single-item-move.html|smart-home-setup.html|storage-unit-moving.html|storm-cleanup.html|touch-up-painting.html|tree-trimming.html|truck-loading.html|tv-mounting.html|uhaul-help.html|warehouse-help.html|weeding.html|wifi-tech-setup.html|yard-cleanup.html|yard-debris-haul.html|yard-work.html,a3ea3ef02c83
img-004,svg+xml,17547,17.1 KB,126,126,yes,2210922,SHARED→one shared file; extract .svg (keep vector),age-restricted.html,age-restricted.html|airport-rides.html|alcohol-delivery.html|apartment-moving.html|appliance-installation.html|appliance-moving.html|appliance-removal.html|appointment-rides.html|blinds-curtains.html|ceiling-fans.html|construction-debris.html|courier-packages.html|crew-assistance.html|day-laborers.html|deck-staining.html|deep-cleaning.html|document-delivery.html|dog-walking.html|donation-pickup.html|doorbell-cameras.html|dorm-college-move.html|driveway-cleaning.html|drywall-patching.html|dump-runs.html|e-waste-removal.html|e-waste-removal_1.html|errand-rides.html|errand-running.html|estate-cleanout.html|event-rides.html|event-setup.html|event-teardown.html|faucet-replacement.html|fence-staining.html|flower-delivery.html|food-delivery.html|furniture-assembly.html|furniture-moving.html|furniture-removal.html|garage-cleanout.html|garden-help.html|general-labor.html|gift-delivery.html|gopher-blog.html|gopher-connect-101.html|gopher-connect.html|gopher-contact-us.html|gopher-customer-deals.html|gopher-deals.html|gopher-faqs.html|gopher-go-101.html|gopher-header.html|gopher-our-story.html|gopher-privacy.html|gopher-prohibited-list.html|gopher-request-101.html|gopher-request.html|gopher-services.html|gopher-terms-of-service.html|gopher-tiers.html|gopher-trustshield.html|gravel-spreading.html|grocery-delivery.html|grocery-store-rides.html|gutter-cleaning.html|handyman.html|heavy-lifting.html|hedge-trimming.html|holiday-decorating.html|home-organizing.html|hot-tub-removal.html|house-cleaning.html|house-sitting.html|in-home-rearranging.html|junk-removal.html|last-minute-runs.html|late-night-delivery.html|lawn-mowing.html|leaf-removal.html|light-fixtures.html|line-waiting.html|loading-unloading.html|mattress-disposal.html|medical-appointment-rides.html|minor-electrical.html|minor-plumbing.html|moving-services.html|mulching.html|one-way-rides.html|package-pickup.html|packing-help.html|painting-projects.html|party-help.html|personal-assistant.html|pet-sitting.html|pharmacy-rx.html|piano-moving.html|picture-hanging.html|planting-flowers.html|pressure-washing.html|restaurant-pickup.html|retail-store-runs.html|return-dropoffs.html|rideshare.html|round-trip-rides.html|scheduled-pickup.html|school-rides.html|seasonal-yard-work.html|senior-help.html|senior-rides.html|shelf-installation.html|single-item-move.html|smart-home-setup.html|storage-unit-moving.html|storm-cleanup.html|touch-up-painting.html|tree-trimming.html|truck-loading.html|tv-mounting.html|uhaul-help.html|warehouse-help.html|weeding.html|wifi-tech-setup.html|yard-cleanup.html|yard-debris-haul.html|yard-work.html,fbbf99dffdd8
img-005,png,18806,18.4 KB,109,109,yes,2049854,SHARED→one shared file; convert to WebP,airport-rides.html,airport-rides.html|alcohol-delivery.html|apartment-moving.html|appliance-installation.html|appliance-moving.html|appliance-removal.html|appointment-rides.html|blinds-curtains.html|ceiling-fans.html|construction-debris.html|courier-packages.html|crew-assistance.html|day-laborers.html|deck-staining.html|deep-cleaning.html|document-delivery.html|dog-walking.html|donation-pickup.html|doorbell-cameras.html|dorm-college-move.html|driveway-cleaning.html|drywall-patching.html|dump-runs.html|e-waste-removal.html|e-waste-removal_1.html|errand-rides.html|errand-running.html|estate-cleanout.html|event-rides.html|event-setup.html|event-teardown.html|faucet-replacement.html|fence-staining.html|flower-delivery.html|food-delivery.html|furniture-assembly.html|furniture-moving.html|furniture-removal.html|garage-cleanout.html|garden-help.html|general-labor.html|gift-delivery.html|gopher-request.html|gopher-services.html|gravel-spreading.html|grocery-delivery.html|grocery-store-rides.html|gutter-cleaning.html|handyman.html|heavy-lifting.html|hedge-trimming.html|holiday-decorating.html|home-organizing.html|hot-tub-removal.html|house-cleaning.html|house-sitting.html|in-home-rearranging.html|junk-removal.html|last-minute-runs.html|late-night-delivery.html|lawn-mowing.html|leaf-removal.html|light-fixtures.html|line-waiting.html|loading-unloading.html|mattress-disposal.html|medical-appointment-rides.html|minor-electrical.html|minor-plumbing.html|moving-services.html|mulching.html|one-way-rides.html|package-pickup.html|packing-help.html|painting-projects.html|party-help.html|personal-assistant.html|pet-sitting.html|pharmacy-rx.html|piano-moving.html|picture-hanging.html|planting-flowers.html|pressure-washing.html|restaurant-pickup.html|retail-store-runs.html|return-dropoffs.html|rideshare.html|round-trip-rides.html|scheduled-pickup.html|school-rides.html|seasonal-yard-work.html|senior-help.html|senior-rides.html|shelf-installation.html|single-item-move.html|smart-home-setup.html|storage-unit-moving.html|storm-cleanup.html|touch-up-painting.html|tree-trimming.html|truck-loading.html|tv-mounting.html|uhaul-help.html|warehouse-help.html|weeding.html|wifi-tech-setup.html|yard-cleanup.html|yard-debris-haul.html|yard-work.html,1d225009ca41
img-006,svg+xml,9852,9.6 KB,145,127,yes,1428540,SHARED→one shared file; extract .svg (keep vector),age-restricted.html,age-restricted.html|airport-rides.html|alcohol-delivery.html|apartment-moving.html|appliance-installation.html|appliance-moving.html|appliance-removal.html|appointment-rides.html|blinds-curtains.html|ceiling-fans.html|construction-debris.html|courier-packages.html|crew-assistance.html|day-laborers.html|deck-staining.html|deep-cleaning.html|document-delivery.html|dog-walking.html|donation-pickup.html|doorbell-cameras.html|dorm-college-move.html|driveway-cleaning.html|drywall-patching.html|dump-runs.html|e-waste-removal.html|errand-rides.html|errand-running.html|estate-cleanout.html|event-rides.html|event-setup.html|event-teardown.html|faucet-replacement.html|fence-staining.html|flower-delivery.html|food-delivery.html|furniture-assembly.html|furniture-moving.html|furniture-removal.html|garage-cleanout.html|garden-help.html|general-labor.html|gift-delivery.html|gopher-blog.html|gopher-connect-101.html|gopher-connect.html|gopher-contact-us.html|gopher-customer-deals.html|gopher-deals.html|gopher-faqs.html|gopher-footer.html|gopher-go-101.html|gopher-header.html|gopher-our-story.html|gopher-privacy.html|gopher-prohibited-list.html|gopher-request-101.html|gopher-request.html|gopher-services.html|gopher-terms-of-service.html|gopher-tiers.html|gopher-trustshield.html|gravel-spreading.html|grocery-delivery.html|grocery-store-rides.html|gutter-cleaning.html|handyman.html|heavy-lifting.html|hedge-trimming.html|holiday-decorating.html|home-organizing.html|hot-tub-removal.html|house-cleaning.html|house-sitting.html|in-home-rearranging.html|index.html|junk-removal.html|last-minute-runs.html|late-night-delivery.html|lawn-mowing.html|leaf-removal.html|light-fixtures.html|line-waiting.html|loading-unloading.html|mattress-disposal.html|medical-appointment-rides.html|minor-electrical.html|minor-plumbing.html|moving-services.html|mulching.html|one-way-rides.html|package-pickup.html|packing-help.html|painting-projects.html|party-help.html|personal-assistant.html|pet-sitting.html|pharmacy-rx.html|piano-moving.html|picture-hanging.html|planting-flowers.html|pressure-washing.html|restaurant-pickup.html|retail-store-runs.html|return-dropoffs.html|rideshare.html|round-trip-rides.html|scheduled-pickup.html|school-rides.html|seasonal-yard-work.html|senior-help.html|senior-rides.html|shelf-installation.html|single-item-move.html|smart-home-setup.html|storage-unit-moving.html|storm-cleanup.html|touch-up-painting.html|tree-trimming.html|truck-loading.html|tv-mounting.html|uhaul-help.html|warehouse-help.html|weeding.html|wifi-tech-setup.html|yard-cleanup.html|yard-debris-haul.html|yard-work.html,ab24531dc4ff
img-007,svg+xml,918656,897.1 KB,1,1,no,918656,INSPECT (large SVG — may wrap raster),gopher-deals.html,gopher-deals.html,4ff26f747457
img-008,svg+xml,874976,854.5 KB,1,1,no,874976,INSPECT (large SVG — may wrap raster),gopher-deals.html,gopher-deals.html,ad49a6447eb3
img-009,png,842150,822.4 KB,1,1,no,842150,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,10021b424614
img-010,png,770964,752.9 KB,1,1,no,770964,convert to WebP,gopher-customer-deals.html,gopher-customer-deals.html,24a77c34127f
