state,market,active_gopher_accounts,email_blocked_C1,no_payout_setup_C2,total_reachable
NC,Raleigh-Durham (home),3313,1326,708,2034
FL,Miami / W. Palm,751,305,225,530
CA,California,647,276,212,488
TX,Texas,551,229,183,412
SC,South Carolina,573,246,160,406
TN,Tennessee,410,164,131,295
OH,Ohio,369,168,102,270
GA,Atlanta,355,150,96,246
CO,Denver,319,128,94,222
VA,Virginia,254,120,70,190
PA,Philadelphia,237,103,70,173
NY,New York,213,73,76,149
MO,St. Louis,181,79,62,141
LA,New Orleans,133,58,45,103
NJ,N. New Jersey,129,57,43,100
AL,Birmingham,129,59,35,94
WA,Seattle,137,55,39,94
MD,Baltimore,117,46,36,82
MN,Minneapolis,93,48,25,73
AR,Little Rock,69,37,18,55
