rank,metro,anchor_city,seed_zip,zips,requesters_added,requests_submitted,delivered,expired,cancelled,expiry_pct,gopher_signups,gophers_stripe_verified,working_gophers
1,Raleigh-Durham,"Holly Springs, NC",27540,48,373,883,534,92,252,10.4,160,66,71
2,Minneapolis-St. Paul,"Minneapolis, MN",55425,99,349,125,0,64,61,51.2,26,7,0
3,New York,"Long Island City, NY",11101,157,288,181,17,76,88,42.0,37,9,4
4,Philadelphia,"Philadelphia, PA",19144,134,286,211,21,101,89,47.9,31,9,5
5,New York,"Plainfield, NJ",07060,152,274,132,23,56,53,42.4,32,11,7
6,Denver,"Englewood, CO",80112,76,268,146,13,58,75,39.7,28,8,8
7,"Washington, Dc","Oxon Hill, MD",20745,115,249,194,36,74,84,38.1,18,6,5
8,Tampa-St. Pete,"Lutz, FL",33558,84,241,145,19,45,81,31.0,28,4,5
9,Orlando-Daytona Bch-Melbrn,"Orlando, FL",32830,54,223,152,23,41,88,27.0,20,4,4
10,Atlanta,"Atlanta, GA",30349,61,215,119,14,51,54,42.9,36,9,6
11,Baltimore,"Essex, MD",21221,66,204,95,0,43,52,45.3,14,2,0
12,Cincinnati,"Cincinnati, OH",45239,73,190,93,7,33,53,35.5,14,3,3
13,"Columbus, Oh","Columbus, OH",43201,52,188,138,26,53,59,38.4,23,6,3
14,"Portland, Or","Portland, OR",97220,66,184,116,19,62,35,53.4,32,7,6
15,Los Angeles,"Los Angeles, CA",90028,126,180,93,3,49,40,52.7,34,7,2
16,Norfolk-Portsmth-Newpt Nws,"Hampton, VA",23663,49,175,112,2,51,59,45.5,19,3,2
17,Nashville,"Antioch, TN",37013,42,167,81,22,22,37,27.2,29,8,5
18,Atlanta,"Canton, GA",30115,51,161,119,40,43,36,36.1,26,12,7
19,Charlotte,"Concord, NC",28025,43,158,319,163,90,66,28.2,23,5,10
20,Greensboro-H. Point-W. Salem,"Greensboro, NC",27407,37,154,229,77,74,78,32.3,32,15,13
21,Cleveland-Akron,"Strongsville, OH",44149,51,153,99,9,40,50,40.4,10,1,3
22,Memphis,"Southaven, MS",38671,43,147,79,2,36,41,45.6,12,5,2
23,Houston,"Katy, TX",77082,75,147,52,2,23,27,44.2,38,10,2
24,Phoenix,"Phoenix, AZ",85044,57,146,61,10,14,37,23.0,27,8,4
25,Boston,"Maynard, MA",01754,96,143,86,2,43,41,50.0,12,6,1
26,Buffalo,"Hamburg, NY",14075,39,138,69,1,31,37,44.9,7,1,1
27,Indianapolis,"Carmel, IN",46032,54,138,68,4,30,34,44.1,25,10,2
28,Richmond-Petersburg,"Richmond, VA",23227,40,128,68,1,33,34,48.5,9,3,1
29,Albany-Schenectady-Troy,"Schenectady, NY",12345,30,127,30,2,11,17,36.7,35,8,2
30,Jacksonville,"Jacksonville Beach, FL",32250,35,125,77,4,53,20,68.8,18,4,4
31,Oklahoma City,"Yukon, OK",73099,41,124,37,0,13,24,35.1,11,1,0
32,Hartford & New Haven,"Bristol, CT",06010,59,118,69,4,31,34,44.9,9,1,2
33,Seattle-Tacoma,"Puyallup, WA",98373,46,115,55,0,21,34,38.2,14,4,0
34,Chicago,"Merrillville, IN",46410,46,108,38,1,11,26,28.9,17,7,1
35,Ft. Myers-Naples,"Cape Coral, FL",33909,35,101,76,20,30,26,39.5,9,2,1
36,Albuquerque-Santa Fe,"Albuquerque, NM",87102,20,99,47,1,25,21,53.2,5,3,1
37,Charlotte,"Dallas, NC",28034,24,94,55,8,31,16,56.4,17,5,3
38,Pittsburgh,"Pittsburgh, PA",15224,60,94,33,0,15,18,45.5,10,1,0
39,Atlanta,"Loganville, GA",30052,26,93,49,5,18,26,36.7,13,1,3
40,Raleigh-Durham,"Fayetteville, NC",28306,20,92,159,33,79,47,49.7,21,12,11
41,Kansas City,"Overland Park, KS",66224,52,92,51,9,18,24,35.3,22,9,4
42,Milwaukee,"Waukesha, WI",53092,43,92,40,1,13,26,32.5,6,0,1
43,Charlotte,"Conover, NC",28613,23,91,161,87,42,32,26.1,21,9,12
44,New Orleans,"New Orleans, LA",70118,35,91,37,0,15,22,40.5,13,3,0
45,Seattle-Tacoma,"Seattle, WA",98118,57,90,54,0,30,24,55.6,9,2,0
46,Cleveland-Akron,"Massillon, OH",44646,34,89,36,0,12,24,33.3,4,1,0
47,Louisville,"Jeffersonville, IN",47130,43,89,32,2,14,16,43.8,11,3,2
48,Las Vegas,"Las Vegas, NV",89044,39,89,23,1,9,13,39.1,16,2,1
49,Los Angeles,"Placentia, CA",92870,62,88,32,1,15,16,46.9,20,4,1
50,New York,"Huntington, NY",11743,46,87,42,0,30,12,71.4,7,0,0
51,Dallas-Ft. Worth,"Burleson, TX",76028,46,87,22,2,6,14,27.3,14,8,2
52,Raleigh-Durham,"Wake Forest, NC",27587,22,85,190,117,29,43,15.3,49,27,24
53,Orlando-Daytona Bch-Melbrn,"Oxford, FL",34484,28,84,48,1,27,20,56.2,14,5,1
54,Little Rock-Pine Bluff,"Little Rock, AR",72204,24,84,41,0,19,22,46.3,8,0,0
55,Greenvll-Spart-Ashevll-And,"Greer, SC",29651,34,83,35,0,13,22,37.1,17,3,0
56,San Francisco-Oak-San Jose,"Redwood City, CA",94061,72,83,45,9,13,23,28.9,18,4,3
57,Phoenix,"Scottsdale, AZ",85262,33,82,76,5,40,31,52.6,10,3,3
58,Dayton,"Fairborn, OH",45324,35,82,49,1,22,26,44.9,17,3,1
59,Birmingham,"Birmingham, AL",35242,37,82,35,0,12,23,34.3,7,1,0
60,Sacramnto-Stktn-Modesto,"Sacramento, CA",95823,44,81,23,1,8,14,34.8,18,3,1
61,Philadelphia,"Coatesville, PA",19320,37,80,66,0,46,20,69.7,6,0,0
62,West Palm Beach-Ft. Pierce,"Boynton Beach, FL",33426,33,78,38,0,18,20,47.4,7,1,0
63,Tampa-St. Pete,"Lakeland, FL",33810,20,77,26,0,10,16,38.5,14,3,0
64,San Antonio,"Bulverde, TX",78163,40,77,49,4,30,15,61.2,7,1,1
65,Miami-Ft. Lauderdale,"Hollywood, FL",33027,54,77,38,0,18,20,47.4,18,8,0
66,Detroit,"Belleville, MI",48111,43,76,17,0,9,8,52.9,11,3,0
67,Dallas-Ft. Worth,"Dallas, TX",75227,39,74,23,0,11,12,47.8,13,1,0
68,Dallas-Ft. Worth,"Little Elm, TX",75068,39,73,16,0,8,8,50.0,6,1,0
69,Huntsville-Decatur,"Madison, AL",35758,27,72,29,1,13,15,44.8,11,3,1
70,Chicago,"Joliet, IL",60435,41,72,12,0,6,6,50.0,3,1,0
71,New York,"Shelton, CT",06484,32,71,32,0,13,19,40.6,3,0,0
72,Wilmington,"Wilmington, NC",28403,17,70,49,10,11,28,22.4,20,7,4
73,Cleveland-Akron,"Chardon, OH",44024,35,69,59,9,32,17,54.2,12,4,6
74,St. Louis,"Saint Louis, MO",63136,33,69,31,0,17,14,54.8,9,4,0
75,Greenvll-Spart-Ashevll-And,"Asheville, NC",28806,26,68,37,1,20,16,54.1,9,3,1
76,"Columbia, Sc","Lexington, SC",29072,25,68,21,0,5,16,23.8,14,3,0
77,St. Louis,"House Springs, MO",63051,38,66,19,0,6,13,31.6,15,2,0
78,Chicago,"Lake Villa, IL",60046,44,65,19,1,8,10,42.1,6,2,1
79,"Washington, Dc","Spotsylvania, VA",22551,19,64,28,2,17,9,60.7,16,9,1
80,Ft. Smith-Fay-Sprngdl-Rgrs,"Fayetteville, AR",72703,18,64,26,0,13,13,50.0,7,3,0
81,Detroit,"Utica, MI",48317,45,64,16,0,3,13,18.8,8,4,0
82,Mobile-Pensacola,"Mobile, AL",36607,29,63,63,6,24,33,38.1,9,1,2
83,Myrtle Beach-Florence,"North Myrtle Beach, SC",29582,16,62,79,34,24,21,30.4,35,16,5
84,Wichita-Hutchinson Plus,"Wichita, KS",67216,23,62,21,0,6,15,28.6,4,0,0
85,Palm Springs,"Murrieta, CA",92562,28,62,35,4,11,20,31.4,9,3,3
86,Philadelphia,"Browns Mills, NJ",08015,32,61,24,0,11,13,45.8,6,1,0
87,Augusta,"Augusta, GA",30906,21,60,31,11,5,15,16.1,7,2,2
88,Austin,"Kyle, TX",78610,36,60,24,0,10,14,41.7,12,1,0
89,Chicago,"Chicago, IL",60623,42,60,20,0,9,11,45.0,12,3,0
90,Mobile-Pensacola,"Navarre, FL",32563,17,58,37,0,18,19,48.6,3,0,0
91,Tucson,"Tucson, AZ",85741,22,58,22,0,14,8,63.6,10,2,0
92,"Rochester, Ny","Pittsford, NY",14534,35,57,68,11,27,30,39.7,4,0,1
93,Flint-Saginaw-Bay City,"Holly, MI",48423,30,57,29,0,17,12,58.6,3,1,0
94,Knoxville,"Knoxville, TN",37920,30,56,25,1,14,10,56.0,7,0,1
95,Spokane,"Spokane, WA",99206,23,56,27,0,15,12,55.6,7,1,0
96,"Lafayette, La","Lafayette, LA",70506,21,55,22,0,5,17,22.7,5,0,0
