rank,metro,clusters_25mi,requesters_added,requests_submitted,delivered,expired,cancelled,expiry_pct,gopher_signups,gophers_stripe_verified,working_gophers,workers_needed_at_raleigh_ratio,worker_gap
1,New York,11,849,429,40,195,194,45.5,85,20,11,40,29
2,Raleigh-Durham,12,617,1318,701,232,379,17.6,249,112,120,121,1
3,Atlanta,12,613,346,64,134,148,38.7,89,28,19,32,13
4,Philadelphia,11,564,368,21,194,153,52.7,59,13,5,34,29
5,Tampa-St. Pete,9,477,261,23,89,149,34.1,54,9,7,24,17
6,Orlando-Daytona Bch-Melbrn,8,476,270,29,99,142,36.7,53,16,7,25,18
7,"Washington, Dc",9,468,275,42,112,121,40.7,50,19,9,26,17
8,Minneapolis-St. Paul,8,425,150,0,84,66,56.0,29,7,0,14,14
9,Charlotte,8,416,575,267,182,126,31.7,67,20,30,53,23
10,Los Angeles,9,397,178,7,95,75,53.4,66,13,5,17,12
11,Denver,10,373,179,13,73,93,40.8,39,10,8,17,9
12,Chicago,7,343,98,2,39,57,39.8,39,13,2,9,7
13,Dallas-Ft. Worth,14,342,111,3,48,60,43.2,45,14,3,11,8
14,Cleveland-Akron,5,332,198,18,85,94,42.9,28,6,9,19,10
15,Phoenix,7,291,164,16,65,83,39.6,43,13,8,15,7
16,Houston,8,291,94,4,32,58,34.0,54,14,4,9,5
17,Boston,9,289,160,7,72,81,45.0,28,10,4,15,11
18,Seattle-Tacoma,7,285,138,0,63,75,45.7,37,11,0,13,13
19,Nashville,11,272,128,29,39,60,30.5,41,11,9,12,3
20,"Columbus, Oh",7,244,186,41,72,73,38.7,28,7,6,17,11
21,Greensboro-H. Point-W. Salem,7,242,325,96,108,121,33.2,44,19,25,30,5
22,Indianapolis,8,241,95,4,42,49,44.2,32,11,2,9,7
23,"Portland, Or",7,226,145,19,75,51,51.7,36,7,6,14,8
24,Greenvll-Spart-Ashevll-And,8,222,107,1,55,51,51.4,34,10,1,10,9
25,Cincinnati,5,222,112,9,46,57,41.1,18,4,4,11,7
